record_id,schema_version,statement_date,organization_or_domain,related_entity,relationship_to_entity,primary_domain,public_discourse_category,topic,claim_type,assertion_mode,statement_paraphrase,target_date_or_timeframe,statement_source_url,statement_source_title,statement_source_tier,evaluation_date,verdict_category,display_verdict,score_points,include_in_trust_score,exclusion_reason,classification_rationale,credible_sources_contest_claim,contestation_resolution,correction_status,correction_date,deleted_after_challenge,repeated_after_correction,documented_repetition_count,deadline_result,eventual_outcome,factual_accuracy,deception_intent_status,outcome_summary,outcome_source_1_url,outcome_source_1_title,outcome_source_2_url,outcome_source_2_title,confidence,selection_basis,source_quality_notes,methodology_notes,v3_change_type,legacy_methodology_notes,legacy_statement_type,legacy_verdict,legacy_weighted_reliability_score,legacy_included_in_site_percentage
TESLA-032,3.0,2025-05-29,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Autonomous delivery,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Complete the first autonomous factory-to-customer Model Y delivery in June 2025.,2025-06,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,True,Fulfilled On Time,100,Yes,,The documented outcome matched the central commitment within the stated deadline.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Met,Fulfilled,Not applicable,Not established,"Tesla completed a Model Y self-delivery on June 27, one day before the date Musk had subsequently specified.",https://www.reuters.com/business/autos-transportation/tesla-completes-first-fully-autonomous-model-y-delivery-ahead-schedule-2025-06-27/,Tesla completes first fully autonomous Model Y delivery ahead of schedule,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 True category at 100 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_ON_TIME,1.0,Yes
TESLA-033,3.0,2025-08-25,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Robotaxi safety driver,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Remove the Austin robotaxi safety driver by the end of 2025.,2025-12-31,https://archive.is/c2u4U,NYT audit transcript of Musk's dated business goals,Tier 1 independent transcription,2026-07-26,Misleading,Fulfilled Late,50,Yes,,"The central outcome eventually occurred, but the missed deadline was material to the original claim.",No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed deadline; achieved in 2026,Partially fulfilled or materially late,Not applicable,Not established,"The New York Times reported that in 2026 Tesla offered rides without human safety monitors in Austin, Dallas and Houston.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Misleading category at 50 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_LATE,0.5,Yes
TESLA-034,3.0,2019-11-21,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Cybertruck launch,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Begin Cybertruck production and deliveries in late 2021.,Late 2021,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,Misleading,Fulfilled Late,50,Yes,,"The central outcome eventually occurred, but the missed deadline was material to the original claim.",No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,About two years late,Partially fulfilled or materially late,Not applicable,Not established,Initial customer deliveries began in November 2023.,https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Misleading category at 50 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_LATE,0.5,Yes
TESLA-035,3.0,2019-11-21,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Cybertruck price,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source","Offer an entry Cybertruck at about $39,900.",At launch,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,False,Unfulfilled,0,Yes,,The deadline matured without the promised result being delivered under the original terms.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,"Tesla announced a starting price of $60,990 at the 2023 delivery launch, over 50 percent above the original figure.",https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Product promise,NOT_FULFILLED,0.0,Yes
TESLA-036,3.0,2019-11-21,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Cybertruck range,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Offer a top Cybertruck with more than 500 miles of range.,At launch,https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,Tier 1 independent,2026-07-26,False,Unfulfilled,0,Yes,,The deadline matured without the promised result being delivered under the original terms.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,The longest-range launch configuration was rated around 340 miles; an optional extender was projected to reach roughly 470 miles.,https://www.reuters.com/business/autos-transportation/tesla-deliver-cybertrucks-after-musk-tempers-expectations-2023-11-30/,Tesla Cybertruck priced above initial estimate,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Product promise,NOT_FULFILLED,0.0,Yes
TESLA-037,3.0,2017-11,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Tesla Semi,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Begin Tesla Semi production in 2019.,2019,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,Misleading,Fulfilled Late,50,Yes,,"The central outcome eventually occurred, but the missed deadline was material to the original claim.",No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,About three years late,Partially fulfilled or materially late,Not applicable,Not established,Tesla made its first Semi customer deliveries in December 2022.,https://www.reuters.com/business/autos-transportation/teslas-semi-factory-nevada-have-first-trucks-production-by-end-2025-2025-04-28/,Tesla Semi factory to have first trucks in production by end of 2025,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Misleading category at 50 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_LATE,0.5,Yes
TESLA-038,3.0,2017-11,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Tesla Semi range,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Demonstrate a fully loaded Tesla Semi capable of 500 miles.,Before broad production,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,Mostly True,Substantially Fulfilled,75,Yes,,"The central outcome occurred, with a limited qualification, deviation, or independent-evidence gap.",No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,No clear deadline,Substantially fulfilled,Not applicable,Not established,Tesla reported a 500-mile trip with a fully loaded Semi before first deliveries; independent detail is limited.,https://www.tesla.com/semi,Tesla Semi product page,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Medium-High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Mostly True category at 75 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"Outcome is largely company-reported, so confidence is lower than for audited production figures.",Product promise,FULFILLED,0.75,Yes
TESLA-039,3.0,2022-12,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Tesla Semi volume,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source","Produce 50,000 Tesla Semi trucks in 2024.",2024,https://www.reuters.com/business/autos-transportation/teslas-semi-factory-nevada-have-first-trucks-production-by-end-2025-2025-04-28/,Tesla Semi factory to have first trucks in production by end of 2025,Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,The target was missed; Tesla later said its dedicated Nevada factory would begin production only by the end of 2025 and ramp in 2026.,https://www.reuters.com/business/autos-transportation/teslas-semi-factory-nevada-have-first-trucks-production-by-end-2025-2025-04-28/,Tesla Semi factory to have first trucks in production by end of 2025,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-040,3.0,2017-11,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Roadster,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Start production of the next-generation Roadster in 2020.,2020,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,False,Unfulfilled,0,Yes,,The deadline matured without the promised result being delivered under the original terms.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,The Roadster did not enter production in 2020 and remained unreleased through the evaluation date.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,NOT_FULFILLED,0.0,Yes
TESLA-041,3.0,2024,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Roadster,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Ship the next-generation Roadster in 2025.,2025,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,False,Unfulfilled,0,Yes,,The deadline matured without the promised result being delivered under the original terms.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,The Roadster was not delivered in 2025 and remained unreleased by July 2026.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Revised dated promise,NOT_FULFILLED,0.0,Yes
TESLA-042,3.0,2019-07-30,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Solar Roof,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source","Reach about 1,000 Solar Roof installations per week by the end of 2019.",2019-12-31,https://www.reuters.com/article/us-tesla-solarroof/tesla-ceo-says-company-aims-to-make-1000-solar-roofs-weekly-by-end-2019-idUSKCN1UP2EE/,"Tesla aims to make 1,000 solar roofs weekly by end-2019",Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,"Independent market estimates years later remained far below 1,000 installations per week.",https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-043,3.0,2016-07-20,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Solar Roof and storage,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Create a smoothly integrated solar-roof and battery product.,No explicit deadline,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,True,Fulfilled,100,Yes,,The available evidence supports the central claim or shows the commitment was fulfilled as stated.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,No dated deadline,Fulfilled,Not applicable,Not established,Tesla sells Solar Roof integrated with Powerwall energy storage.,https://www.tesla.com/solarroof,Tesla Solar Roof,https://www.tesla.com/powerwall,Tesla Powerwall,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 True category at 100 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Promise,FULFILLED,1.0,Yes
TESLA-044,3.0,2016-07-20,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Tesla Semi,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Unveil a heavy-duty truck the following year.,2017,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,True,Fulfilled On Time,100,Yes,,The documented outcome matched the central commitment within the stated deadline.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Met,Fulfilled,Not applicable,Not established,Tesla unveiled the Semi in November 2017.,https://www.tesla.com/blog/tesla-semi,Tesla Semi unveiled,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 True category at 100 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_ON_TIME,1.0,Yes
TESLA-045,3.0,2016-07-20,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Urban transport,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Unveil a high-passenger-density urban transport vehicle the following year.,2017,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,False,Unfulfilled,0,Yes,,The deadline matured without the promised result being delivered under the original terms.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,Tesla did not unveil a bus or comparable high-density urban transport vehicle in 2017.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,NOT_FULFILLED,0.0,Yes
TESLA-046,3.0,2016-07-20,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Tesla Network,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Let owners add autonomous Teslas to a shared fleet and earn money when true self-driving was approved.,Conditional on regulatory approval and full autonomy,https://www.tesla.com/master-plan-part-deux,"Master Plan, Part Deux",Primary,2026-07-26,Pending,Pending,,No,The explicit condition has not been met.,The relevant deadline or stated condition had not matured by the evaluation date.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Condition not met,Pending,Not applicable,Not established,"The owner-operated Tesla Network has not launched, but the promise was expressly conditional on autonomy and regulatory approval.",https://www.tesla.com/support/fsd,Tesla Full Self-Driving (Supervised) support page,https://www.reuters.com/business/autos-transportation/teslas-once-bullish-tone-robotaxis-shifts-2026-07-23/,Tesla's once-bullish tone on robotaxis shifts,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded from the v3 Trust Score as Pending: The explicit condition has not been met.,Migrated from v2,Conditional promise excluded from percentage until its condition is met or Tesla abandons it.,Conditional promise,PENDING,,No
TESLA-047,3.0,2020,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Vehicle volume,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source",Produce 20 million vehicles annually by 2030.,2030,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,Pending,Pending,,No,Deadline or relevant condition had not matured by the evaluation date.,The relevant deadline or stated condition had not matured by the evaluation date.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Future target,Pending,Not applicable,Not established,"The deadline is still future, although Tesla stopped highlighting the 20-million target in later impact reporting.",https://www.reuters.com/business/autos-transportation/tesla-drops-20-million-vehicle-production-target-impact-report-2024-05-23/,Tesla drops 20 million vehicle production target from impact report,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded from the v3 Trust Score as Pending: Deadline or relevant condition had not matured by the evaluation date.,Migrated from v2,Future claims are excluded from resolved percentages.,Long-range goal,PENDING,,No
TESLA-048,3.0,2021-08,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Optimus robot,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Show a working Tesla Bot prototype in 2022.,2022,https://www.reuters.com/technology/tesla-unveils-optimus-robot-prototype-targets-price-under-20000-2022-10-01/,Tesla unveils Optimus robot prototype,Tier 1 independent,2026-07-26,True,Fulfilled On Time,100,Yes,,The documented outcome matched the central commitment within the stated deadline.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Met,Fulfilled,Not applicable,Not established,Tesla demonstrated an early walking Optimus prototype in September 2022.,https://www.reuters.com/technology/tesla-unveils-optimus-robot-prototype-targets-price-under-20000-2022-10-01/,Tesla unveils Optimus robot prototype,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 True category at 100 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,FULFILLED_ON_TIME,1.0,Yes
TESLA-049,3.0,2024,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Optimus deployment,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source",Use Optimus robots for useful internal Tesla tasks in 2025 and sell them externally in 2026.,Internal use 2025; external sales 2026,https://www.reuters.com/business/autos-transportation/musk-says-tesla-have-humanoid-robots-internal-use-next-year-2024-07-22/,Musk says Tesla to have humanoid robots in internal use next year,Tier 1 independent quoting Musk,2026-07-26,Pending,Pending,,No,Mixed multi-part claim includes a future 2026 deadline; should be split in a later research pass.,This record combines a 2025 internal-use claim with a 2026 external-sales claim whose deadline had not fully elapsed. It remains Pending until split or matured.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,2025 internal-use evidence limited; 2026 external target pending,Pending,Not applicable,Not established,"Public evidence of meaningful 2025 factory deployment was limited, while the external-sales deadline had not fully elapsed by the evaluation date.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,Medium,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded from the v3 Trust Score as Pending: Mixed multi-part claim includes a future 2026 deadline; should be split in a later research pass.,Migrated from v2,Mixed multi-part claim excluded from headline percentage until the 2026 portion matures.,Dated forecast,PARTIALLY_FULFILLED,0.25,No
TESLA-050,3.0,2018-08-07,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Taking Tesla private,Factual Assertion,"Public company statement, interview, filing, presentation, or post documented by the cited source",Stated that funding was secured to take Tesla private at $420 per share.,Present-tense claim,https://www.sec.gov/newsroom/press-releases/2018-219,SEC charges Elon Musk with securities fraud,Official regulator reproducing statement,2026-07-26,Unsupported,Unsupported,25,Yes,,"The SEC alleged that funding was not secured, while the settlement included no admission and a civil jury later found no investor liability. The financing assertion is scored Unsupported, not a proven lie.",Yes,Unresolved,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Not applicable,Not applicable,Unsupported,"Contested; SEC alleged fraud, settlement had no admission, and a 2023 jury found no investor liability",Tesla was not taken private. The SEC alleged the funding was not secured; Musk and Tesla settled without admitting or denying wrongdoing. A separate civil jury later found Musk not liable to investors.,https://www.sec.gov/newsroom/press-releases/2018-226,Elon Musk settles SEC fraud charges; Tesla charged with and resolves securities law charge,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Unsupported category at 25 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"Do not label this a proven lie. The underlying financing claim was unsupported, but intent and legal liability were contested.",Factual assertion,FALSE_OR_UNSUPPORTED,0.0,Yes
SPACEX-001,3.0,2011,SpaceX,SpaceX,Affiliated organization at time of statement,Business & Technology,,Mars,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source",Reach Mars in about 10 years.,Around 2021,https://archive.is/c2u4U,NYT audit of Musk business goals,Tier 1 independent transcription,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed earliest estimate,Unfulfilled or reversed,Not applicable,Not established,SpaceX had not sent a spacecraft to Mars by 2021 or by the evaluation date.,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
SPACEX-002,3.0,2011,SpaceX,SpaceX,Affiliated organization at time of statement,Business & Technology,,Mars,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source",Reach Mars within 15 to 20 years in the worst case.,2026 to 2031,https://archive.is/c2u4U,NYT audit of Musk business goals,Tier 1 independent transcription,2026-07-26,Pending,Pending,,No,Deadline or relevant condition had not matured by the evaluation date.,The relevant deadline or stated condition had not matured by the evaluation date.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Window partly open,Pending,Not applicable,Not established,"The earliest edge of the stated worst-case window had arrived, but the full window runs through roughly 2031.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded from the v3 Trust Score as Pending: Deadline or relevant condition had not matured by the evaluation date.,Migrated from v2,Excluded because the stated range has not fully elapsed.,Long-range forecast,PENDING,,No
SPACEX-003,3.0,2012-07-12,SpaceX,SpaceX,Affiliated organization at time of statement,Business & Technology,,Human Mars mission,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source","People would reach Mars in 12 to 15 years, and in less than 20 years.",Most likely 2024 to 2027; outer bound 2032,https://archive.is/c2u4U,NYT audit transcript of Musk's Mars goals,Tier 1 independent transcription,2026-07-26,Pending,Pending,,No,Deadline or relevant condition had not matured by the evaluation date.,The relevant deadline or stated condition had not matured by the evaluation date.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Most-likely window nearly elapsed; outer bound future,Pending,Not applicable,Not established,"No human has reached Mars, but the most-likely window does not fully expire until July 2027 and the broader outer bound is later.",https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Excluded from the v3 Trust Score as Pending: Deadline or relevant condition had not matured by the evaluation date.,Migrated from v2,Excluded until the stated window expires.,Dated forecast,PENDING,,No
